nama,id_siswa,kelas,Pendidikan Agama,Pendidikan Pancasila,Bahasa Inggris,Bahasa Mandarin,Matematika (Umum),Biologi,Fisika,Kimia,Geografi,Sejarah,Sosiologi,Ekonomi,"Pendidikan Jasmani, Olahraga, dan Kesehatan",Informatika,Seni Musik,Bahasa Indonesia,Rata-rata,Pendidikan Agama (S2),Pendidikan Pancasila (S2),Bahasa Inggris (S2),Bahasa Mandarin (S2),Matematika (Umum) (S2),Biologi (S2),Fisika (S2),Kimia (S2),Geografi (S2),Sejarah (S2),Sosiologi (S2),Ekonomi (S2),"Pendidikan Jasmani, Olahraga, dan Kesehatan (S2)",Informatika (S2),Seni Musik (S2),Bahasa Indonesia (S2),Rata-rata (S2)
Rizky Saraswati,12413,10A,69.48034795,67.10673918,62.78172261,59.24888688,65.97468733,64.45099769,66.95953687,65.65942977,67.73133434,59.80739471,69.07054109,63.47156879,72.85987513,59.03763167,71.16338978,63.47312468,65.51732553,75,75,67,63,69,68,69,71,71,59,84,64,77,64,74,68,69.88
Eko Paramitha,16034,10A,56.05158848,56.88924932,57.70694195,61.42950823,61.92285593,56.44017847,59.18690553,70.02003029,67.94639434,61.49029684,59.49869588,59.90883513,62.37626836,54.19471567,58.02179581,50.96575812,59.62812615,55,63,62,72,72,58,69,77,72,64,60,60,60,59,55,52,63.12
Putra Kusnandar,42433,10A,65.2345583,66.47442239,60.82251038,71.10837651,57.10961438,55.91656829,64.36070178,68.4739342,71.65808115,60.94402138,68.63184686,63.04590034,62.37530619,67.65674238,66.50005708,55.35648191,64.10432022,68,66,72,90,59,63,69,75,81,61,72,73,69,74,74,63,70.56
Alya Wijaya,15748,10A,74.99785103,74.51560605,64.48733577,69.59416695,70.08530021,68.91851811,64.86362351,64.25703244,67.48737893,73.47879438,70.33315006,65.76207762,71.47364284,53.37243618,73.35897778,58.91658039,67.86890452,83,79,66,71,79,72,68,72,73,80,74,69,74,61,79,65,72.81
Jaya Purwanti,41839,10A,57.01702842,53.23088365,52.35582575,64.63336706,56.49072712,60.56175254,58.59463023,61.21443726,59.21334258,52.41427201,63.81056722,56.36045021,51.04632363,56.68865732,66.33303208,63.08034184,58.31535243,73,61,52,66,62,60,58,67,68,61,69,60,56,66,66,65,63.12
Galang Paramita,96837,10A,57.08605454,57.08302669,57.22113996,69.21305513,60.73899248,60.97952345,63.98073249,60.02326101,57.53410449,57.84756597,58.47130892,58.64320403,62.46746293,59.08904464,62.4925156,58.42573231,60.08104529,68,68,67,67,65,63,74,64,70,63,63,62,67,65,67,62,65.94
Kiki Putranto,91882,10A,68.28924003,57.90506065,72.47770245,69.62850646,72.88611463,53.41478719,78.3379376,67.19811594,73.43697816,62.69653444,70.9599336,62.62898626,64.77721927,77.46622085,66.94265207,68.98322844,68.00182613,78,67,73,72,77,62,82,73,83,66,82,61,68,77,72,77,73.12
Malik Yulianti,54429,10A,68.1875123,66.31558309,64.58926817,65.66197866,75.85425157,63.54907966,64.84266888,69.09044563,69.36480331,69.77232517,67.03082476,58.12214908,72.00433131,58.10544668,65.35035097,60.0657944,66.11917585,72,72,67,72,83,68,72,74,74,71,73,61,80,60,71,64,70.88
Taufik Andini,61419,10A,57.33193634,59.29644012,59.25941415,59.76223184,65.72118442,59.92029958,56.43184489,62.47306391,63.59998051,51.51458899,60.63962842,61.15849178,56.16481055,64.53116214,56.90235014,58.28051034,59.56174613,61,69,63,67,71,55,56,69,70,56,71,68,67,60,69,61,64.56
Rudi Nugroho,23609,10A,61.8474411,62.79069546,57.23142478,55.5125458,70.68532553,58.47799348,57.75583847,51.94584965,59.51799148,56.09735125,70.92287602,67.76188566,59.27204849,73.97497924,67.62162765,61.0886433,62.03153234,63,73,64,61,75,58,64,58,72,58,69,68,71,77,78,66,67.19
